value,date
2220,2024-06-04 12:36:56
3800,2024-06-05 00:15:22
2050,2024-06-06 02:24:30
2240,2024-06-07 01:05:21
2510,2024-06-08 20:24:48
1910,2024-06-09 00:08:27
2010,2024-06-10 12:17:11
2000,2024-06-11 22:11:32
1990,2024-06-12 22:07:21
2020,2024-06-13 20:39:21
2060,2024-06-14 15:57:44
1920,2024-06-15 22:19:19
1970,2024-06-16 19:56:37
1960,2024-06-17 12:24:42
1930,2024-06-18 00:20:43
1960,2024-06-19 12:34:42
1980,2024-06-20 20:11:35
1910,2024-06-21 00:24:29
1920,2024-06-22 23:11:33
1940,2024-06-23 22:46:17
2140,2024-06-24 19:54:30
1990,2024-06-25 12:20:48
2080,2024-06-26 19:01:52
2200,2024-06-27 03:32:49
2000,2024-06-28 22:32:48
2050,2024-06-29 13:33:30
1930,2024-06-30 22:11:43
1920,2024-07-01 22:23:46
1960,2024-07-02 22:40:35
3630,2024-07-03 22:34:30
2180,2024-07-04 01:01:51
1910,2024-07-05 23:08:57
1910,2024-07-06 22:12:03
1920,2024-07-07 22:09:36
1920,2024-07-08 05:31:27
1910,2024-07-09 01:26:16
3850,2024-07-10 22:35:50
2010,2024-07-11 09:02:12
2100,2024-07-12 22:13:51
2000,2024-07-13 22:13:15
2010,2024-07-14 22:17:32
1930,2024-07-15 19:32:28
3510,2024-07-16 00:22:48
2000,2024-07-17 07:56:48
2220,2024-07-18 03:50:37
2010,2024-07-19 22:08:56
1940,2024-07-20 22:09:49
2060,2024-07-21 20:17:15
3600,2024-07-22 19:50:39
3810,2024-07-23 00:24:16
1930,2024-07-24 22:30:10
1930,2024-07-25 19:26:24
2700,2024-07-26 11:23:09
1910,2024-07-27 22:09:37
1890,2024-07-28 05:43:42
1920,2024-07-29 22:16:51
1910,2024-07-30 22:11:54
2090,2024-07-31 01:37:39
1920,2024-08-01 22:08:48
2120,2024-08-02 20:10:29
1930,2024-08-03 01:53:57
1960,2024-08-04 22:46:20
2020,2024-08-05 00:26:38
2130,2024-08-06 19:28:12
1980,2024-08-07 12:55:38
1990,2024-08-08 22:38:29
1900,2024-08-09 04:30:54
1890,2024-08-10 00:23:01
2030,2024-08-11 19:15:30
2170,2024-08-12 00:18:23
2010,2024-08-13 12:20:12
2220,2024-08-14 00:18:18
2020,2024-08-15 23:04:36
1940,2024-08-16 22:11:50
1940,2024-08-17 22:10:46
1980,2024-08-18 22:38:12
1920,2024-08-19 22:14:44
1860,2024-08-20 00:30:57
1920,2024-08-21 01:24:20
1910,2024-08-22 22:21:46
1910,2024-08-23 02:09:07
2110,2024-08-24 23:58:31
3800,2024-08-25 23:19:55
2060,2024-08-26 19:04:27
1930,2024-08-27 12:12:41
1900,2024-08-28 22:09:06
